id	x	y	cluster	weight<Links>	weight<Total link strength>	label
181	1.575	-0.008	1	5	10	实时状态检测
182	1.6316	0.0077	5	5	10	公交优先信号
183	1.6316	0.0075	5	5	10	路口控制效果
184	1.6315	0.0077	5	5	10	拥堵改善趋势
185	1.6315	0.0075	5	5	10	相位信号配时
186	1.6048	-0.0064	1	5	10	安全监测
187	1.6046	-0.0063	1	5	10	效率监测
188	1.6046	-0.0065	1	5	10	信号灯识别
189	1.574	-0.0015	1	5	10	混合推荐
190	1.5741	-0.0014	1	5	10	内容推荐
191	1.5767	-0.0043	1	5	10	无线通信
192	1.5767	-0.0045	1	5	10	交通管理器
193	1.6141	-0.0033	1	5	10	ACP方法
194	1.614	-0.0031	1	5	10	数据驱动
195	1.614	-0.0033	1	5	10	平行执行
196	1.5637	0.0015	1	5	10	隐语义模型
54	-0.4116	0.0284	3	86	252	视频分析
55	0.2567	-0.0144	2	10	22	电子警察
56	0.0582	-0.0148	2	13	30	车牌识别
57	0.1305	-0.0137	2	5	10	图像保存
58	0.1305	-0.0136	2	5	10	图像传输
59	-0.468	-0.0295	3	94	278	信息感知
60	0.0481	-0.0138	8	10	22	电子警察系统
61	-0.0061	-0.0125	8	6	12	高清摄像机
62	-0.0059	-0.0125	8	6	12	违章检测抓拍
63	-0.0059	-0.0123	8	6	12	交通灯检测
64	-0.0061	-0.0123	8	6	12	车牌检测
65	-0.5879	-0.0845	21	5	10	交通监控技术
66	-0.5878	-0.0847	21	5	10	出入口人流量统计
67	-0.6516	-0.0429	3	68	210	传感网
68	-0.5877	-0.0845	21	5	10	通信网络
69	-0.551	-0.0416	11	5	10	智能交通
70	-0.551	-0.0418	11	5	10	数据采集
71	-0.5499	-0.0417	11	7	20	车载终端
72	-0.5931	-0.0249	22	5	10	交通信息
73	-0.5929	-0.0248	22	5	10	设备协作
74	-0.593	-0.025	22	5	10	信息采集
75	-0.5488	-0.0419	11	5	10	无线传感网
76	-0.5488	-0.0417	11	5	10	网关节点
77	-0.9238	-0.1664	12	6	12	入侵检测
78	-0.9237	-0.1667	12	6	12	远程监控
79	-0.9236	-0.1666	12	6	12	无线传感模块
80	-0.9236	-0.1664	12	6	12	无线数据模块
81	-0.9239	-0.1666	12	6	12	远程监控中心
82	-0.945	-0.0623	13	6	12	无线网络部署
83	-0.9448	-0.0625	13	6	12	能量损耗模型
84	-0.945	-0.0625	13	6	12	网络信号
85	-0.9447	-0.0623	13	6	12	交通环境
86	-0.9449	-0.0622	13	6	12	交通物联网
87	-0.819	-0.132	6	8	20	信号检测
88	-0.8196	-0.1306	6	5	10	通信信号
89	-0.8195	-0.1304	6	5	10	信道模型
90	-0.8194	-0.1306	6	5	10	信道估计
91	-0.8184	-0.1336	6	5	10	全空时网络编码
92	-0.8186	-0.1335	6	5	10	协同通信
93	-0.8184	-0.1334	6	5	10	通信系统
94	-0.5629	0.0236	23	5	10	动态标定
95	-0.5627	0.0235	23	5	10	视频处理
96	-0.5627	0.0237	23	5	10	场景监测
97	-0.5569	0.2445	7	6	12	视频车辆检测
98	-0.5567	0.2448	7	6	12	模式分类
99	-0.5567	0.2446	7	6	12	图像特征提取
